,id,year,weekday,hour,splimit,gender,age,county,vehicle_type,circumstances,latitude,longitude,total_casualties,outcome_calculated,is_fatal,severity,geometry,is_dcc,radius_500m
2090,27186,2006,3,4,50,1,8,6,4,7,53.32436954484808,-6.240165423966082,1.0,3,False,0.0,POINT (-6.240165423966082 53.32436954484808),True,50
2091,25383,2006,5,5,50,1,7,6,5,6,53.31712869612912,-6.270401415080333,1.0,3,False,0.0,POINT (-6.270401415080333 53.31712869612912),True,59
2092,28978,2006,3,1,30,1,1,6,3,10,53.353245892699704,-6.29612357581781,1.0,3,False,0.0,POINT (-6.29612357581781 53.353245892699704),True,33
2093,33096,2009,2,3,50,2,5,26,3,10,53.18814217008125,-6.113316436997675,1.0,3,False,0.0,POINT (-6.113316436997675 53.18814217008125),False,16
2094,36145,2011,3,2,50,1,8,6,3,10,53.33414473102553,-6.299860266823974,1.0,3,False,0.0,POINT (-6.299860266823974 53.33414473102553),True,72
2095,18215,2012,4,2,50,2,5,6,2,10,53.30707524058931,-6.3366106579946155,1.0,3,False,0.0,POINT (-6.3366106579946155 53.30707524058931),False,4
2096,4442,2013,3,3,50,1,6,6,3,7,53.25827360370127,-6.19894181897169,1.0,3,False,0.0,POINT (-6.19894181897169 53.25827360370127),False,7
2097,19862,2012,1,5,80,1,4,26,4,2,53.201995155940665,-6.135690735690544,1.0,3,False,0.0,POINT (-6.135690735690544 53.201995155940665),False,11
2098,51286,2005,1,3,50,1,5,6,3,7,53.33544675362759,-6.302940892576069,1.0,3,False,0.0,POINT (-6.302940892576069 53.33544675362759),True,58
2099,31957,2009,3,3,50,1,2,6,1,10,53.32220632527472,-6.23715630261941,1.0,3,False,0.0,POINT (-6.23715630261941 53.32220632527472),True,67
