,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
27,492,Dublin,Regional,R110,1,8,63,72,53.333489,-6.291117,53.323302,-6.352402,4.36,Current
28,493,Dublin,Regional,R137,0,7,14,21,53.332236,-6.275145,53.322829,-6.279177,1.1,Current
29,494,Dublin,Regional,R818,0,1,3,4,53.31488,-6.313077,53.316961,-6.326202,0.92,Current
30,495,Dublin,Regional,R819,0,2,14,16,53.316792,-6.333334,53.29159,-6.357379,3.4,Current
31,496,Dublin,Regional,R136,0,1,3,4,53.284523,-6.393319,53.291007,-6.404592,1.04,Current
32,497,Dublin,National,N81,1,3,24,28,53.288218,-6.339061,53.284252,-6.378243,2.67,Current
33,595,Dublin,Regional,R147,1,0,2,3,53.591203,-6.600356,53.556766,-6.576495,4.24,Current
34,596,Dublin,Regional,R152,0,1,2,3,53.651665,-6.411767,53.621305,-6.424435,3.54,Current
35,598,Dublin,Regional,R128,1,1,0,2,53.524425,-6.091289,53.538837,-6.092235,1.65,Current
36,600,Dublin,Regional,R107,0,4,21,25,53.407479,-6.177842,53.383016,-6.205129,3.37,Current
37,601,rbDaunb Rlionad,Urban Stree,/UnBcellacslasirfeie Vdiew,0,2,8,10,53.397529,-6.266477,53.403251,-6.281973,1.27,Current
38,602,Dublin,Regional,R104,0,2,6,8,53.400768,-6.261242,53.397285,-6.24499,1.15,Current
39,603,Dublin,Regional,R132,0,1,1,2,53.594365,-6.184119,53.574541,-6.205068,2.64,Current
40,604,Dublin,Regional,R807,0,0,8,8,53.360386,-6.203966,53.363677,-6.224829,1.47,Current
41,607,Dublin,Regional,R103,0,5,22,27,53.39035,-6.287936,53.379515,-6.31058,2.82,Current
42,608,Dublin,Local,L3060,0,1,3,4,53.377109,-6.392214,53.38322,-6.393322,0.69,Current
43,609,Dublin,Regional,R835,0,0,9,9,53.356481,-6.449498,53.35894,-6.422798,1.94,Current
44,610,Dublin,Regional,R833,0,1,14,15,53.345595,-6.379609,53.342264,-6.349423,2.08,Current
45,612,Dublin,Regional,R137,0,3,32,35,53.299467,-6.300679,53.322587,-6.279304,3.12,Current
46,613,Dublin,Regional,R114,1,10,59,70,53.328808,-6.264485,53.30205,-6.283911,3.59,Current
47,614,Dublin,National,N11,0,5,23,28,53.277335,-6.182625,53.296688,-6.203906,2.75,Current
48,1056,Dublin,Motorway,M1,1,1,5,7,53.532046,-6.207331,53.4915,-6.203505,4.67,Current
